target,help,symps
переохлаждение,"1. Переместить пострадавшего с холода в тепло, снять с него промерзшую и мокрую одежду и постепенно отогревать. 
2. Если пострадавший в сознании, завернуть его в теплое одеяло или одежду и, если он может глотать, дать ему теплое питье без кофеина. (Прочитайте состав — например, в Кокаколе есть кофеин). Не давайте пострадавшему впадать в панику и не позволяйте делать активные движения, ""чтобы согреться"". И первое, и второе способствует потоотделению — механизму охлаждения тела. 
3. Нельзя массировать и растирать конечности, а также помещать пострадавшего в горячую ванну, так как это может оттянуть кровь от внутренних органов и таким образом дополнительно охладить их. Кровоснабжение мозга и внутренних органов — жизненно важно. Лучше конечности обмотать чем-то теплоизолирующим. 
4. Можно положить пострадавшего в спальный мешок вместе с другим человеком, который будет ""играть роль гигантской грелки"". (Некоторые завопят — о, добрый эсэсовский способ! На деле давнее изобретение. Использовавшееся северянами очень с давних времен). Если находитесь в теплом помещении — греть можно несколькими людьми. 
5. При оказании помощи пострадавшему с умеренной и тяжелой степенью переохлаждения следует внимательно следить за дыханием. При необходимости приступить к искусственной вентиляции легких и непрямому массажу сердца. 
6. Как только появятся самостоятельное дыхание и сознание, пострадавшего перенести на кровать, тепло укрыть, дать горячее питье без кофеина, горячее молоко. 
7. При наличии признаков отморожения конечностей оказать соответствующую помощь, но только после снятия состояния гипотермии. 
8. Пострадавшего обязательно госпитализировать.","низкая температура, плохо дышит, плохо дышу, усталость, сонливость, хочу спать, хочет спать, медленно говорит, медленно говорю, нарушение памяти, потерял сознание, потеряла сознание, забыла, забыл, плохо помню, плохо помнит, мурашки, дрожит, дрожу, тяжело говорить, трудно говорить"
повышенная температура,"Холодные компрессы.
Смоченные и слегка отжатые хлопчатобумажные салфетки прикладывают ко лбу (или оборачивают вокруг головы) и щиколоткам. Второй вариант: оборачивают шею и запястья. Повторяют процедуру после высыхания салфеток. С этой же целью можно использовать прикладывание льда ко лбу, подмышкам или подколенным впадинам. Между полиэтиленовым пакетом со льдом и телом необходимо класть свернутое в несколько раз полотенце.

Обтирания и обертывания.
С помощью губки или салфетки, смоченной прохладной водой, обтирают тело больного, позволяя затем влаге испариться с поверхности кожи. Этот способ обычно снижает температуру на 1-2°С. Лучший эффект достигается при смешивании воды с уксусом в равных пропорциях. Используют также обертывание больного мокрой простыней, поверх которой кладется сухая простыня и одеяло.

Мокрые носки.
Хорошо снижает температуру и применение мокрых, слегка отжатых носков, которые надевают на ноги больного на всю ночь. Сверху должны быть надеты шерстяные носки.

Теплая ванна.
Снижение температуры тела во время этой процедуры достигается с помощью постепенного уменьшения температуры воды.

Клизма с прохладной водой.
Клизма с прохладной водой позволяет снизить температуру приблизительно на 0,5-1°С.

Принять жаропонижающее средство, например, парацетамол, ибупрофен, аспирин, согласно дозировке, прописанной в инструкции (при отсутствии аллергии). ","высокая температура, температура, лихорадка, слабость, озноб, болит голова, головная боль"
Порез,"Для оказания первой помощи при порезе необходимо:

1. Очистить рану неволокнистым материалом или стерильной марлей
2. Остановить кровотечение путем надавливания на рану
3. Обработать рану стерильным физиологическим раствором или чистой водой
4. Обработать повреждение антисептиком, например, раствором Бетадин®
5. Закрыть очищенную рану стерильной повязкой
6. Следить за чистотой раны","порез, кровь, порезалась, порезался, остановить кровь"
Укус пчелы/осы,"1. Немедленно удалите все жала. Некоторые эксперты рекомендуют соскабливать жало кредитной картой. 
2. Прикладывание льда к месту укуса может обеспечить некоторое облегчение. Прикладывайте лед на 20 минут один раз в час по мере необходимости. Заверните лед в полотенце или положите ткань между льдом и кожей, чтобы не заморозить кожу. 
3. Прием антигистаминных препаратов, таких как димедрол (Бенадрил), или неседативных, таких как лоратадин (кларитин), поможет справиться с зудом и отеком. Принимайте ацетаминофен (Тайленол) или ибупрофен (Мотрин) для облегчения боли по мере необходимости. 
4. Промойте место укуса водой с мылом. Нанесение крема с гидрокортизоном на место укуса может помочь снять покраснение, зуд и отек.","ужалила пчела, ужалила оса, жало, укус, опухло, жжет, припухлость"
Ссадина,"1. Вымойте руки. 
2. Аккуратно очистите область от прохладной до чуть теплой воды с мягким мылом. 
3. Удалите грязь или другие частицы из раны с помощью стерилизованного пинцета. Для легкого соскабливания, которое не кровоточит, оставьте рану открытой. 
4. Если рана кровоточит, используйте чистую ткань или бинт и слегка надавите на область, чтобы остановить кровотечение.
5. Покройте кровоточащую рану тонким слоем мази с антибиотиками для местного применения, такой как бацитрацин, или стерильной влагозащитной мазью, такой как Аквафор. Накройте его чистым бинтом или марлей. 
6. Аккуратно промывайте рану и меняйте мазь и повязку один раз в день. 
Следите за областью на предмет признаков инфекции, таких как боль или покраснение и отек. Обратитесь к врачу, если вы подозреваете инфекцию.","поцарапался, ссадина, царапина, содрал, содрала, упал, упала, поцарапалась, кожа, щипет, жжется, жжет, счесал, счесала, поскользнулась, поскользнулся"
Заноза,"1. ЗАМОЧИТЕ В АНГЛИЙСКОЙ СОЛИ. Растворите чашку соли в теплой ванне и замочите ту часть тела, на которой находится заноза. В противном случае вы также можете нанести немного соли на тампон для бинтов и оставить его закрытым на сутки; это в конечном итоге поможет вытащить занозу на поверхность. 
2. УКСУС ИЛИ МАСЛО. Еще один простой способ вытащить эту занозу - смочить пораженный участок маслом (оливковым или кукурузным) или белым уксусом. Просто налейте немного в миску и замочите участок примерно на 20-30 минут.","заноза, боль, болит, загнала, загнал"
Отравление,"1)Употребляйте как можно больше жидкости, например, воду, бульон или фруктовый сок, разбавленный водой. 
2) Пресные продукты, такие как соленые крекеры, обычный хлеб, сухие тосты, рис, желатин или яблочное пюре. 
3)Избегайте острой или жирной пищи, а также напитков с кофеином или газированных напитков в течение 48 часов после исчезновения всех симптомов.","болит живот, диарея, ноет живот, колит живот, раздуло живот, тянет живот, режущая боль, резкая боль, сильная боль, боль, боль в животе, тошнит, понос, жидкий стул"
Удушение,"Прием Геймлиха помогает удалить инородное тело из горла пострадавшего, однако этот способ не подходит детям младше одного года.
1.Если пострадавший не потерял сознание и может стоять на ногах, нужно встать у него за спиной.
2.Свою руку сжать в кулак и той стороной, где большой палец, прижать ее к животу пострадавшего.
3.Ладонь другой руки положить поверх первой и резким нажатием вдавливать в живот. На грудную клетку при этом не давить, а руки при резком движении нужно сжать в локтях.
4.Если одно нажатие на живот не помогло извлечь инородное тело, необходимо повторять движение до успешного финала.","подавился, задыхается, трудно дышать, не дышит, хрипит, подавилась, попало в горло, не в то горло, долго кашляет, кашляю, не может откашляться, не могу откашляться"
Сотрясение,"1. в первую очередь вызвать скорую помощь;
2. уложить пострадавшего так, чтобы голова оказалась на возвышении;
3. на поврежденную область приложить холодный компресс или лед (не на открытую кожу);
4. если человек находится без сознания, его необходимо уложить на бок, согнув ноги под прямым углом, а правую руку подложить ему под голову;
5. до приезда скорой не следует давать ему любые препараты или лекарства, чтобы избежать возможной аллергической реакции или ухудшения состояния.","болит голова, головная боль, голова раскалывается, температура, тошнит, не помню, не помнит, ударилась, ударился, упал, упала, ударили, кружится голова, рвота, шум в ушах, звон в ушах, проблемы с памятью, раздражительность, тревожность, тревожно, проблемы со сном, плохо сплю, плохо спит"
Сыпь,"1) Оливковое масло способствует заживлению и обновлению кожи, поскольку оно богато витамином Е и антиоксидантами. Оно также успокаивает кожу и уменьшает зуд. 
2) Алоэ Вера, благодаря своим антибактериальным, противогрибковым, противовоспалительным и смягчающим свойствам, алоэ вера отлично подходит для лечения ряда кожных заболеваний, включая сыпь, а также успокаивает кожу.","красные пятна, сыпь, чешется, жжет, пятна, волдыри"
Укус животного,"1)Промойте рану теплой водой с мылом. 
2)Аккуратно прижмите к ране чистую ткань, чтобы остановить кровотечение. 
3)Нанесите на рану антибактериальную мазь. 
4)Накройте стерильной повязкой. 
5)Следите за признаками инфекции. 
6)Обратитесь за помощью, если вы подозреваете инфекцию или возможное заражение бешенством, или если рана серьезная.","укусил, укус, кровь, укусила, рана, больно, боль, болит"
Утопление,"1)Приложите палец ко рту и носу человека. Чувствуете ли вы дыхание человека? 
2)Посмотрите, движется ли грудная клетка человека.Если человек не дышит, проверьте пульс. 
3)Проверяйте пульс человека в течение 10 секунд.Если пульса нет, начните искусственное дыхание.

Пострадавшего укладывают на жесткую поверхность, оказывающий помощь помещает свои сложенные крестом ладони на нижнюю часть грудины пострадавшего и энергичными толчками надавливает на грудную стенку, используя при этом не только руки, но и массу собственного тела. Грудная стенка, смещаясь к позвоночнику на 4-5 см, сжимает сердце и выталкивает кровь из его камер по естественному руслу. У взрослого человека такую операцию необходимо проводить с частотой 100-120 надавливаний в минуту, то есть одно надавливание в секунду. У детей до 10 лет массаж выполняют одной рукой с частотой 80 надавливаний в минуту.

Правильность проводимого массажа определяется появлением пульса на сонной артерии в такт с нажатием на грудную клетку.

Через каждые 30 надавливаний оказывающий помощь дважды подряд вдувает в легкие пострадавшего воздух и вновь проводит массаж сердца.

Если реанимационные мероприятия проводят два человека, то один из них осуществляет массаж сердца, другой – искусственное дыхание в режиме одно вдувание через каждые пять нажатий на грудную стенку. При этом периодически проверяется, не появился ли самостоятельный пульс на сонной артерии. Об эффективности проводимой реанимации судят также по сужению зрачков и появлению реакции на свет.

При восстановлении дыхания и сердечной деятельности пострадавшего, находящегося в бессознательном состоянии, обязательно укладывают на бок, чтобы исключить его удушение собственным запавшим языком или рвотными массами. О западении языка часто свидетельствует дыхание, напоминающее храп, и резко затрудненный вдох.","не дышит, тонул, утонул, захлебнулся, искуственное дыхание, наглотался воды, наглоталась воды"
открытый перелом,"1) Остановите кровотечение. Прижмите рану стерильным бинтом, чистой тканью или чистым куском одежды. 
2) Обездвижьте поврежденный участок. Не пытайтесь выровнять кость или вдавить торчащую кость обратно. Если вас обучали, как расщеплять, а профессиональная помощь недоступна, наложите шину на область выше и ниже места перелома. Наложение шины может помочь уменьшить дискомфорт. 
3) Приложите пакеты со льдом, чтобы уменьшить отек и облегчить боль. Не прикладывайте лед непосредственно к коже. Заверните лед в полотенце, кусок ткани или какой-либо другой материал. 
4) Обработайте от шока. Если человек чувствует слабость или дышит короткими, учащенными вдохами, уложите его так, чтобы голова была немного ниже туловища, и, по возможности, поднимите ноги. 
5) Вызовите скорую помощь или самостоятельно доставьте пострадавшего в травмпункт.","сильная боль, резкая боль, не могу шевелить, не может шевелить, хруст, нога, колено, бедро, ноги, палец на ноге, пальцы на ноге, сломал, сломала, сломали, открытый перелом, боль, болит, торчит кость, кровь"
